student_id,gender,school_type,parent_edu,commute_min,prior_gpa,attendance_pct,quiz_avg,assign_avg,midterm,study_hours_wk,on_time_submit_pct,lms_logins_wk,forum_posts,final_score,grade_band,passed
STU_00023,M,Public,Bachelor,34,3.58,69.9,56.1,58.1,43.1,29.7,95.9,14,3,100.0,A,1
STU_00024,M,Private,Bachelor,43,1.64,68.3,36.8,50.5,20.0,5.2,65.6,4,1,50.2,D,0
STU_00025,F,Public,High School,19,2.02,62.6,43.6,43.1,51.6,26.5,56.9,8,0,79.4,B,1
STU_00026,M,Charter,High School,7,2.47,58.7,51.2,73.1,55.3,40.0,86.1,20,1,100.0,A,1
STU_00027,F,Charter,High School,44,1.86,90.3,41.0,68.8,54.9,1.0,63.4,22,0,71.0,B,1
STU_00028,F,Private,High School,11,1.0,49.3,40.6,61.6,39.1,1.0,75.6,12,0,36.1,F,0
STU_00029,M,Private,High School,5,1.29,70.5,66.0,49.0,20.0,9.6,43.2,4,0,42.4,F,0
STU_00030,F,Public,Master,29,2.39,96.0,67.0,31.7,66.2,3.2,57.4,2,0,73.2,B,1
STU_00031,M,Charter,High School,5,1.12,71.9,31.7,39.3,81.7,2.8,82.5,4,0,49.7,F,0
STU_00032,M,Charter,Bachelor,106,2.05,100.0,72.4,92.9,42.9,1.0,96.6,1,1,99.4,A,1
STU_00033,F,Charter,High School,30,1.45,79.7,78.9,51.9,35.5,3.6,87.8,19,1,68.4,C,1
STU_00034,F,Private,High School,120,2.33,70.0,56.8,56.5,33.0,40.0,76.5,10,0,89.5,A,1
STU_00035,F,Public,Master,12,3.3,69.6,70.1,96.5,86.0,3.6,88.4,7,1,96.3,A,1
STU_00036,M,Charter,Bachelor,106,2.81,88.8,60.1,68.8,97.6,14.9,90.4,5,1,100.0,A,1
STU_00037,M,Public,High School,5,1.6,82.3,37.5,53.3,74.2,6.4,20.0,6,0,54.0,D,0
STU_00038,F,Public,Master,5,1.0,78.1,20.0,60.1,45.9,18.2,46.6,6,2,51.7,D,0
STU_00039,M,Public,High School,5,1.0,56.9,43.7,78.8,46.4,8.2,89.6,3,0,57.4,D,0
STU_00040,M,Charter,High School,18,3.43,73.5,100.0,53.3,56.8,2.8,94.9,19,7,100.0,A,1
STU_00041,F,Public,Master,5,2.35,49.3,57.7,40.5,39.0,12.9,31.7,15,1,78.5,B,1
STU_00042,M,Public,Bachelor,21,1.41,68.9,30.6,43.9,69.0,17.2,60.7,27,0,64.1,C,1
STU_00043,F,Public,High School,11,3.56,85.6,88.2,75.0,73.5,19.0,64.1,13,1,100.0,A,1
STU_00044,M,Private,High School,12,2.3,62.1,59.2,72.3,22.8,15.2,77.0,6,1,86.0,A,1
STU_00045,F,Private,Master,30,3.92,73.8,91.2,100.0,60.0,29.9,90.3,12,1,100.0,A,1
STU_00046,M,Public,High School,5,1.62,66.0,64.2,45.4,20.0,8.6,35.2,14,0,48.9,F,0
STU_00047,F,Public,High School,43,1.74,78.0,52.3,49.8,34.1,11.0,100.0,10,0,55.9,D,0
STU_00048,F,Private,Bachelor,26,3.41,57.6,76.5,94.3,100.0,11.9,55.5,5,0,100.0,A,1
STU_00049,M,Charter,PhD,73,2.78,65.8,98.2,73.4,80.0,35.8,84.3,10,0,100.0,A,1
STU_00050,F,Private,High School,13,2.06,50.0,57.8,56.0,57.4,12.1,79.1,4,0,75.9,B,1
STU_00051,F,Public,Master,120,2.99,71.7,99.2,66.0,78.7,5.5,97.1,8,1,93.0,A,1
STU_00052,F,Charter,Bachelor,25,2.46,80.6,75.0,89.4,74.6,22.2,74.9,9,1,79.4,B,1
STU_00053,F,Public,Bachelor,108,2.51,84.3,83.4,100.0,60.2,5.0,76.7,13,2,99.1,A,1
STU_00054,F,Public,Bachelor,5,2.2,84.7,76.1,91.7,80.3,22.8,23.0,5,0,98.5,A,1
STU_00055,F,Public,PhD,39,1.12,61.0,46.0,54.5,35.7,1.0,42.1,0,2,43.8,F,0
STU_00056,M,Public,High School,50,1.0,87.3,76.4,58.3,48.1,1.0,100.0,4,0,71.3,B,1
STU_00057,M,Private,High School,5,3.43,100.0,83.5,89.7,74.2,11.7,52.6,11,2,100.0,A,1
STU_00058,M,Public,PhD,25,3.06,72.8,60.3,43.9,68.8,7.2,61.0,10,2,87.9,A,1
STU_00059,M,Public,Bachelor,48,1.63,73.2,30.3,52.4,76.0,33.5,26.0,4,0,85.3,A,1
STU_00060,M,Public,Bachelor,24,1.95,68.2,75.1,48.5,61.5,13.4,71.3,25,0,86.2,A,1
STU_00061,M,Public,Bachelor,5,3.03,70.6,39.1,76.6,52.3,9.6,65.6,5,3,94.8,A,1
STU_00062,F,Public,Bachelor,35,1.11,57.7,34.5,31.5,64.0,37.2,49.6,7,0,73.5,B,1
STU_00063,M,Public,Master,5,2.6,84.4,41.2,97.6,96.4,34.3,54.4,14,0,100.0,A,1
STU_00064,M,Public,PhD,51,3.53,99.8,92.5,78.8,86.7,6.1,90.8,3,2,100.0,A,1
STU_00065,F,Private,Bachelor,5,3.4,55.0,83.3,66.8,91.6,6.0,98.6,6,2,94.4,A,1
STU_00066,M,Private,High School,5,3.5,89.5,80.9,71.4,41.3,22.6,77.9,2,3,100.0,A,1
STU_00067,F,Private,Bachelor,9,2.95,61.7,74.4,82.8,72.3,8.1,43.1,6,0,90.0,A,1
STU_00068,M,Public,Bachelor,30,2.46,81.7,67.8,39.1,54.8,1.8,73.9,3,0,66.0,C,1
STU_00069,F,Charter,Bachelor,112,3.84,86.5,100.0,63.0,54.3,34.2,100.0,4,3,100.0,A,1
STU_00070,F,Charter,Bachelor,5,1.46,79.6,27.7,69.9,28.9,13.1,47.7,6,2,61.5,C,1
STU_00071,M,Private,High School,5,2.72,81.1,92.8,55.0,81.8,6.4,100.0,0,3,86.3,A,1
STU_00072,M,Private,Bachelor,13,3.09,71.9,68.9,90.7,82.5,40.0,77.9,5,0,100.0,A,1
STU_00073,F,Public,Bachelor,54,1.64,68.5,91.2,53.9,34.9,9.0,57.1,13,0,57.1,D,0
STU_00074,F,Charter,Master,18,2.13,98.0,71.8,58.6,82.2,7.6,51.8,17,2,79.4,B,1
STU_00075,F,Public,Bachelor,11,2.24,76.0,81.6,52.6,62.5,8.1,82.3,1,0,89.6,A,1
STU_00076,F,Public,High School,24,3.38,89.5,80.7,85.0,86.7,7.7,63.5,10,3,100.0,A,1
STU_00077,M,Public,Bachelor,9,2.08,68.2,41.1,67.9,29.7,3.4,60.7,21,0,68.6,C,1
STU_00078,M,Public,Master,15,1.97,72.3,61.1,55.4,30.9,40.0,53.7,6,2,100.0,A,1
STU_00079,M,Charter,Bachelor,12,3.09,96.2,72.5,85.9,42.1,26.4,66.2,9,2,100.0,A,1
STU_00080,F,Public,Bachelor,48,3.46,62.1,87.2,51.2,94.4,6.9,59.8,11,0,100.0,A,1
STU_00081,F,Public,Bachelor,77,3.71,80.1,90.6,66.2,65.6,35.1,90.4,8,2,100.0,A,1
STU_00082,M,Private,High School,42,1.15,66.6,72.9,43.3,61.8,1.0,59.7,16,0,61.8,C,1
STU_00083,M,Public,Master,17,3.08,99.0,82.7,53.2,100.0,5.8,50.0,1,0,95.4,A,1
STU_00084,M,Public,High School,21,1.0,98.8,48.2,55.2,20.0,25.3,40.0,7,0,66.7,C,1
STU_00085,M,Private,Bachelor,5,3.42,91.7,56.5,50.8,72.4,3.5,46.8,8,1,96.3,A,1
STU_00086,F,Private,High School,41,3.64,100.0,91.7,58.6,60.4,34.7,100.0,3,3,100.0,A,1
STU_00087,F,Public,High School,27,3.27,60.1,49.1,70.1,91.3,7.6,80.5,6,2,84.1,A,1
STU_00088,F,Private,Bachelor,69,2.12,30.0,70.1,40.4,53.7,1.3,65.3,1,0,55.4,D,0
STU_00089,M,Public,Bachelor,6,3.0,84.6,90.9,81.1,89.5,3.6,65.4,13,0,90.7,A,1
STU_00090,M,Public,Bachelor,42,3.75,94.3,86.0,100.0,77.1,10.2,73.5,8,3,100.0,A,1
STU_00091,F,Public,Bachelor,34,2.03,66.6,43.7,70.7,28.1,13.1,71.7,4,0,71.5,B,1
STU_00092,F,Public,Bachelor,9,3.39,68.1,70.8,69.8,63.9,15.1,93.7,14,4,89.7,A,1
STU_00093,F,Private,Bachelor,33,1.25,76.0,53.5,34.9,58.6,1.0,90.1,12,0,58.8,D,0
STU_00094,F,Private,Bachelor,77,1.8,97.3,57.5,48.7,54.2,4.6,86.3,7,2,65.3,C,1
STU_00095,F,Public,Bachelor,75,1.0,74.8,56.6,35.1,26.0,1.0,69.8,2,0,47.8,F,0
STU_00096,F,Public,Bachelor,38,3.41,95.6,89.9,95.2,74.8,9.0,22.3,5,2,100.0,A,1
STU_00097,M,Private,Bachelor,5,3.8,96.1,71.9,83.0,36.9,6.5,87.9,7,0,100.0,A,1
STU_00098,M,Public,PhD,61,1.07,79.0,63.9,49.0,20.0,12.8,92.6,17,0,63.0,C,1
STU_00099,M,Public,High School,32,1.14,91.0,61.9,65.0,65.3,1.8,72.0,0,0,66.9,C,1
STU_00100,M,Charter,PhD,11,1.7,60.8,75.5,26.2,76.3,2.9,66.2,6,1,67.8,C,1
STU_00101,F,Private,High School,6,3.32,67.7,65.4,68.7,100.0,14.2,39.8,9,1,94.0,A,1
STU_00102,M,Charter,High School,5,2.68,65.6,71.2,100.0,90.3,4.2,53.9,8,3,97.2,A,1
STU_00103,F,Public,High School,5,2.68,80.6,58.3,74.3,50.7,6.9,30.9,15,1,93.3,A,1
STU_00104,F,Private,Bachelor,42,2.79,99.9,65.1,33.4,75.7,1.9,59.3,7,0,77.2,B,1
STU_00105,M,Public,High School,8,2.61,87.9,56.8,58.1,64.0,2.1,55.8,22,0,72.2,B,1
STU_00106,M,Public,Master,5,1.11,30.0,36.9,50.7,55.0,4.7,59.5,5,1,65.9,C,1
STU_00107,F,Public,Master,15,2.12,100.0,90.7,75.4,69.4,40.0,66.2,9,0,96.0,A,1
STU_00108,M,Public,Bachelor,19,1.0,77.7,59.7,25.0,78.2,5.3,58.7,5,1,54.9,D,0
STU_00109,M,Public,Bachelor,5,2.23,96.9,42.6,63.7,63.7,6.5,72.5,6,1,75.3,B,1
STU_00110,M,Public,PhD,5,1.49,80.0,52.3,47.6,70.8,1.0,89.7,4,1,73.9,B,1
STU_00111,M,Public,Master,6,3.69,56.6,57.6,79.6,76.2,9.1,100.0,7,2,100.0,A,1
STU_00112,F,Private,Bachelor,34,3.71,90.7,78.8,89.8,56.3,22.6,93.3,7,0,100.0,A,1
STU_00113,F,Public,Bachelor,5,2.9,56.5,64.3,79.4,60.4,8.7,98.8,2,0,100.0,A,1
STU_00114,F,Public,Bachelor,24,3.15,85.1,74.5,77.4,64.5,16.0,78.5,7,1,100.0,A,1
STU_00115,F,Public,Bachelor,5,1.2,79.9,20.0,25.0,22.2,1.0,58.7,0,0,39.7,F,0
STU_00116,F,Public,High School,6,1.84,91.6,25.5,39.0,28.0,1.0,65.4,0,0,66.4,C,1
STU_00117,M,Private,Bachelor,14,2.66,69.9,64.0,46.9,82.0,9.5,78.4,11,3,84.4,A,1
STU_00118,F,Public,High School,5,2.84,34.3,84.1,100.0,75.9,6.2,74.5,17,3,99.7,A,1
STU_00119,F,Private,High School,5,1.99,70.1,61.4,67.4,66.3,1.0,84.8,3,3,70.8,B,1
STU_00120,F,Public,Bachelor,12,2.71,88.9,51.8,59.8,85.8,5.7,80.8,0,2,84.5,A,1
STU_00121,F,Public,PhD,11,3.01,79.1,52.1,80.4,83.4,7.9,88.4,3,2,100.0,A,1
STU_00122,M,Charter,PhD,41,3.54,79.7,100.0,60.7,100.0,19.0,54.2,7,4,100.0,A,1
STU_00123,M,Private,Bachelor,5,3.72,74.3,58.4,77.3,66.0,10.3,65.7,4,1,100.0,A,1
STU_00124,M,Public,Bachelor,59,2.29,89.5,68.3,80.8,79.9,29.5,74.3,10,0,100.0,A,1
STU_00125,M,Private,High School,50,1.21,98.0,28.1,65.8,33.6,8.2,28.0,7,1,58.2,D,0
STU_00126,F,Public,Bachelor,43,3.18,76.1,66.5,100.0,57.2,27.4,40.0,11,3,100.0,A,1
STU_00127,F,Private,High School,11,3.22,93.4,88.9,76.1,41.8,4.8,84.1,10,1,91.3,A,1
STU_00128,M,Private,High School,51,2.99,95.5,43.0,71.4,78.5,22.2,100.0,2,0,100.0,A,1
STU_00129,F,Private,Bachelor,6,1.06,56.3,34.5,87.2,62.9,1.0,48.0,1,1,63.5,C,1
STU_00130,M,Charter,High School,5,2.94,62.3,91.1,59.1,61.7,17.1,51.4,5,2,100.0,A,1
STU_00131,M,Public,High School,5,2.0,94.0,86.8,100.0,37.0,3.4,63.8,5,0,79.8,B,1
STU_00132,M,Private,Master,84,2.7,63.7,89.4,63.2,90.6,4.9,65.1,13,1,100.0,A,1
STU_00133,M,Public,High School,11,1.18,66.2,59.7,53.9,50.3,9.0,20.0,3,0,53.0,D,0
STU_00134,F,Public,High School,74,1.0,77.2,20.0,56.7,42.5,1.0,40.2,3,0,48.8,F,0
STU_00135,M,Public,High School,9,1.19,54.3,36.3,26.5,67.3,32.8,37.6,5,1,76.3,B,1
STU_00136,F,Public,High School,71,2.27,72.4,71.7,58.7,99.7,2.5,99.0,15,1,91.6,A,1
STU_00137,F,Private,High School,70,3.01,84.4,48.1,53.5,71.7,21.8,73.0,9,3,100.0,A,1
STU_00138,M,Public,Master,77,3.61,46.7,54.1,86.4,86.0,17.0,43.0,5,5,92.2,A,1
STU_00139,F,Public,High School,20,1.2,72.6,76.1,45.4,66.4,2.4,45.2,7,0,55.7,D,0
STU_00140,F,Public,Master,60,2.96,53.1,50.6,68.7,47.3,16.7,61.9,19,0,82.0,A,1
STU_00141,M,Public,High School,90,3.09,69.9,100.0,66.6,26.0,7.1,58.9,8,3,88.4,A,1
STU_00142,F,Charter,Bachelor,11,2.71,73.8,80.8,52.7,72.1,13.8,64.3,10,2,100.0,A,1
STU_00143,M,Public,Bachelor,16,1.29,33.1,65.1,70.2,57.6,1.0,91.2,16,1,55.6,D,0
STU_00144,M,Private,Bachelor,38,2.83,70.3,68.7,89.3,67.7,39.0,72.5,7,1,100.0,A,1
STU_00145,M,Private,Bachelor,10,1.0,43.6,98.9,27.9,57.0,1.0,55.6,0,1,37.9,F,0
STU_00146,F,Private,PhD,42,3.35,52.9,83.3,67.1,86.4,11.3,90.1,30,3,100.0,A,1
STU_00147,F,Public,High School,5,3.15,77.5,65.2,69.8,61.7,5.6,72.7,2,3,83.2,A,1
STU_00148,M,Charter,Bachelor,22,2.33,93.1,60.4,28.5,61.9,5.2,54.3,7,0,76.6,B,1
STU_00149,M,Public,Master,5,3.0,91.2,76.6,72.1,40.0,6.3,68.3,4,0,93.6,A,1
STU_00150,F,Charter,High School,10,1.43,58.7,60.2,64.0,70.1,40.0,50.4,0,2,83.5,A,1
STU_00151,M,Public,High School,8,2.24,53.5,69.7,67.2,72.7,1.0,94.0,13,0,76.1,B,1
STU_00152,M,Public,High School,54,2.81,73.0,76.6,62.3,45.6,2.9,80.8,6,0,92.6,A,1
STU_00153,F,Public,Bachelor,6,3.51,93.1,85.5,84.5,63.2,40.0,100.0,16,1,100.0,A,1
STU_00154,F,Private,High School,49,1.37,79.0,21.4,60.8,48.5,1.0,55.7,3,1,58.2,D,0
STU_00155,M,Public,High School,47,1.65,53.6,65.7,29.2,55.4,1.0,69.3,3,2,52.0,D,0
STU_00156,F,Public,Bachelor,20,2.2,66.1,85.2,78.8,44.5,7.6,86.4,11,0,87.7,A,1
STU_00157,F,Public,Bachelor,7,2.72,62.2,69.1,71.6,71.0,3.4,56.5,8,2,84.3,A,1
STU_00158,M,Charter,High School,7,1.82,30.0,63.0,79.4,77.4,1.0,65.6,17,0,81.9,A,1
STU_00159,F,Private,High School,18,2.78,95.9,69.5,62.5,42.7,21.4,84.3,22,2,90.9,A,1
STU_00160,M,Public,Bachelor,5,3.61,89.6,76.3,100.0,33.8,6.6,100.0,18,4,100.0,A,1
STU_00161,F,Private,PhD,22,1.13,96.8,61.6,61.6,64.3,1.0,61.2,5,0,54.8,D,0
STU_00162,F,Public,Bachelor,91,3.31,100.0,73.9,93.8,66.6,15.6,100.0,6,1,100.0,A,1
STU_00163,F,Public,Master,5,1.03,72.3,50.8,46.3,38.6,40.0,39.9,10,0,78.1,B,1
STU_00164,M,Charter,High School,25,3.06,95.7,65.1,84.2,47.1,9.8,62.1,11,2,98.2,A,1
STU_00165,F,Public,High School,97,1.68,67.2,41.4,64.9,68.6,10.6,52.8,5,0,86.4,A,1
STU_00166,M,Public,Bachelor,59,2.9,82.5,37.8,77.4,32.7,9.5,100.0,4,3,70.7,B,1
STU_00167,M,Public,Master,56,1.48,61.5,50.3,72.1,54.3,1.0,84.3,0,0,67.2,C,1
STU_00168,M,Public,Bachelor,51,1.88,72.8,50.9,53.8,94.0,5.2,75.6,2,1,79.5,B,1
STU_00169,F,Public,Master,11,2.43,85.5,97.7,33.1,71.2,11.7,93.0,6,0,73.1,B,1
STU_00170,F,Public,PhD,66,1.31,82.0,63.7,77.0,72.9,1.0,28.2,3,3,59.1,D,0
STU_00171,M,Public,High School,85,1.18,30.0,48.7,45.2,66.2,1.0,53.3,0,0,43.4,F,0
STU_00172,F,Public,High School,20,3.03,92.6,75.0,65.5,80.6,21.9,81.1,6,1,99.1,A,1
STU_00173,M,Public,High School,13,2.81,54.6,72.4,69.4,42.6,2.0,51.0,6,2,69.5,C,1
STU_00174,F,Public,High School,16,1.49,61.6,72.8,53.6,73.6,1.0,20.0,1,0,61.4,C,1
STU_00175,M,Public,High School,12,1.65,40.0,47.1,66.0,20.0,1.0,37.0,16,2,50.2,D,0
STU_00176,F,Private,Master,7,2.54,63.6,78.7,25.0,63.8,1.0,78.5,5,1,66.8,C,1
STU_00177,M,Public,High School,28,2.78,100.0,52.1,75.8,43.3,19.6,87.5,8,0,96.3,A,1
STU_00178,F,Private,High School,24,1.83,79.1,53.4,77.0,47.4,7.1,64.3,15,0,70.0,B,1
STU_00179,M,Private,High School,18,1.98,75.4,40.3,61.0,23.8,1.2,40.7,8,0,72.2,B,1
STU_00180,M,Private,PhD,5,3.05,100.0,43.6,82.5,68.5,2.9,59.7,14,1,100.0,A,1
STU_00181,M,Public,Bachelor,47,1.57,58.6,96.2,51.1,34.0,7.4,63.8,1,1,71.1,B,1
STU_00182,F,Public,PhD,5,1.58,75.6,63.1,42.5,51.7,8.4,59.8,4,0,67.4,C,1
STU_00183,F,Public,PhD,5,1.82,93.8,60.1,66.2,44.1,11.8,100.0,3,0,72.9,B,1
STU_00184,M,Private,Bachelor,29,3.18,94.2,60.3,60.3,71.2,19.8,84.8,1,1,100.0,A,1
STU_00185,F,Public,High School,15,2.29,85.9,84.1,50.7,24.6,40.0,60.7,7,0,90.7,A,1
STU_00186,F,Private,High School,5,1.58,91.6,62.4,55.8,20.0,19.0,70.5,0,1,82.6,A,1
STU_00187,F,Charter,High School,13,1.0,85.2,46.6,32.5,54.3,1.0,100.0,4,0,45.4,F,0
STU_00188,F,Public,Bachelor,44,2.45,86.5,40.8,75.5,45.9,1.0,57.1,0,1,54.2,D,0
STU_00189,M,Public,High School,28,3.16,55.9,95.5,72.2,65.3,3.2,85.5,4,1,97.3,A,1
STU_00190,M,Private,High School,13,1.61,72.7,54.3,84.5,72.9,19.1,78.8,0,0,87.0,A,1
STU_00191,F,Public,Bachelor,6,1.82,91.6,44.8,37.2,28.9,15.1,62.4,12,0,79.8,B,1
STU_00192,F,Public,Bachelor,29,3.18,65.4,67.3,76.4,74.5,2.6,76.0,10,3,88.1,A,1
STU_00193,F,Charter,Bachelor,65,1.49,58.6,88.2,54.5,78.2,12.8,20.0,2,0,78.4,B,1
STU_00194,M,Public,High School,31,3.19,79.0,92.7,90.1,100.0,18.1,95.8,17,2,100.0,A,1
STU_00195,M,Charter,Master,50,1.0,88.4,43.5,75.5,26.1,16.0,57.2,0,0,71.1,B,1
STU_00196,F,Private,Bachelor,22,1.0,54.3,100.0,44.4,50.1,8.3,60.0,6,0,69.2,C,1
STU_00197,F,Private,High School,37,1.95,59.9,63.4,60.4,63.4,7.6,48.5,5,3,78.9,B,1
STU_00198,F,Public,Master,67,3.0,43.7,40.7,60.2,50.3,5.7,100.0,11,3,72.6,B,1
STU_00199,F,Public,PhD,44,3.67,65.4,78.1,91.4,78.7,4.2,43.6,7,3,94.1,A,1
STU_00200,F,Public,High School,72,1.0,83.2,39.9,63.4,30.9,1.0,27.2,7,0,52.2,D,0
STU_00201,M,Public,High School,16,1.12,55.0,63.8,46.3,20.0,2.7,62.4,0,0,52.2,D,0
STU_00202,M,Public,Bachelor,70,1.55,52.3,55.2,36.9,49.7,1.0,65.7,17,0,59.3,D,0
STU_00203,F,Public,High School,29,2.62,69.1,53.2,57.0,74.9,1.0,43.5,11,2,69.0,C,1
STU_00204,F,Public,Master,61,1.81,65.4,68.2,87.6,46.4,5.3,82.9,5,1,83.4,A,1
STU_00205,M,Public,High School,5,2.24,88.4,33.1,52.3,97.7,40.0,53.8,4,0,99.1,A,1
STU_00206,M,Private,Master,32,1.07,47.2,55.3,43.2,26.3,39.3,62.6,1,1,73.1,B,1
STU_00207,F,Public,Bachelor,56,2.06,44.7,100.0,47.6,66.1,15.7,70.8,20,1,83.5,A,1
STU_00208,M,Public,Bachelor,5,1.88,92.7,81.8,68.3,20.0,1.7,76.3,15,0,84.5,A,1
STU_00209,M,Private,High School,32,1.4,79.5,30.7,40.2,37.9,15.3,69.7,5,0,61.9,C,1
STU_00210,F,Charter,High School,52,1.11,47.8,80.7,66.7,68.7,7.8,48.0,1,0,65.0,C,1
STU_00211,F,Public,High School,10,3.99,100.0,82.8,82.8,55.0,9.3,78.5,11,0,99.9,A,1
STU_00212,F,Public,High School,15,1.0,33.3,37.3,54.2,20.0,1.0,56.6,7,0,39.4,F,0
STU_00213,M,Public,High School,25,2.82,92.9,69.8,82.5,33.1,9.0,87.5,6,3,100.0,A,1
STU_00214,F,Charter,Master,21,1.3,90.4,75.3,50.1,65.2,7.0,33.6,20,1,62.7,C,1
STU_00215,M,Private,High School,5,1.37,97.8,43.2,79.5,86.4,7.9,69.4,3,2,81.3,A,1
STU_00216,M,Private,Master,5,2.6,53.9,35.9,63.1,21.4,4.6,73.7,0,1,63.8,C,1
STU_00217,F,Public,Bachelor,5,3.52,78.5,57.9,53.6,89.2,18.2,100.0,4,0,100.0,A,1
STU_00218,F,Public,Master,9,2.92,50.0,70.9,66.2,55.0,15.1,61.0,10,3,82.9,A,1
STU_00219,F,Public,PhD,8,2.65,100.0,47.6,44.4,80.4,4.8,100.0,8,2,80.0,A,1
STU_00220,F,Private,High School,40,3.38,90.6,77.1,94.2,60.4,18.6,74.6,8,1,100.0,A,1
STU_00221,F,Private,Master,25,2.08,74.9,53.0,65.2,78.0,15.3,20.0,4,0,69.2,C,1
STU_00222,M,Charter,Bachelor,43,2.94,62.7,45.8,58.0,61.7,23.1,78.9,19,2,97.7,A,1
STU_00223,M,Public,Master,5,1.29,66.2,63.3,67.1,20.0,3.0,51.5,23,0,55.3,D,0
STU_00224,M,Public,Bachelor,19,1.55,71.8,65.1,58.8,34.0,30.0,60.2,3,1,73.4,B,1
STU_00225,M,Public,Bachelor,11,1.85,94.1,64.8,56.7,39.3,37.3,73.5,8,1,100.0,A,1
STU_00226,F,Private,High School,56,2.39,87.4,28.2,49.0,40.0,14.8,91.9,1,1,77.9,B,1
STU_00227,M,Private,High School,36,3.83,74.3,54.7,75.4,89.3,16.8,100.0,12,3,100.0,A,1
STU_00228,F,Public,Bachelor,61,3.17,63.5,84.9,42.7,54.2,22.6,50.4,12,3,95.7,A,1
STU_00229,F,Public,PhD,5,1.25,78.2,46.9,80.3,47.3,1.0,86.4,6,0,65.5,C,1
STU_00230,F,Public,Bachelor,38,3.6,94.7,90.9,48.3,78.9,21.3,86.8,6,1,100.0,A,1
STU_00231,F,Public,High School,23,1.62,90.8,37.2,70.9,75.6,4.2,31.9,14,1,69.3,C,1
STU_00232,F,Charter,Master,52,2.6,59.8,45.0,52.0,34.9,29.8,89.3,2,2,82.8,A,1
STU_00233,F,Public,Master,21,2.75,69.9,57.0,66.3,52.9,1.9,100.0,14,3,89.8,A,1
STU_00234,M,Private,High School,23,1.0,81.4,49.7,67.8,43.7,1.0,43.3,3,1,48.2,F,0
STU_00235,F,Public,High School,5,2.09,62.3,69.9,82.1,79.7,4.2,57.1,27,1,89.2,A,1
STU_00236,M,Private,High School,33,3.78,85.1,80.8,100.0,64.6,40.0,100.0,12,0,100.0,A,1
STU_00237,M,Public,Master,9,3.26,80.3,82.4,94.9,68.3,13.0,76.4,9,0,90.6,A,1
STU_00238,F,Private,Master,5,3.49,67.5,84.8,64.4,69.2,33.1,75.3,17,2,100.0,A,1
STU_00239,M,Public,High School,5,1.95,97.7,46.7,49.1,50.4,31.7,25.2,5,1,79.4,B,1
STU_00240,F,Public,High School,94,3.61,78.8,100.0,84.5,100.0,3.7,65.8,10,2,100.0,A,1
